Date,2014,2015,2016,2017,2018,2019,2020,2021,2022,2014_2021_Average
5/1/2014,0.08,0.08,0.5,0.37,0,0.01,0,0,0.29,0.13
5/2/2014,0.08,0.08,0.52,0.39,0,0.02,0,0,0.33,0.13625
5/3/2014,0.16,0.08,0.64,0.39,0.06,0.59,0,0.08,0.48,0.25
5/4/2014,0.19,0.08,0.72,0.39,0.08,0.95,0,0.72,0.81,0.39125
5/5/2014,0.19,0.08,0.73,1.53,0.08,1.19,0,1.02,0.84,0.6025
5/6/2014,0.19,0.38,0.93,1.59,0.28,1.51,0.65,1.02,2.54,0.81875
5/7/2014,0.19,0.38,0.96,1.64,0.28,1.51,0.66,1.25,3.42,0.85875
5/8/2014,0.19,0.38,0.96,1.64,0.28,1.51,0.93,1.26,3.42,0.89375
5/9/2014,0.31,0.38,0.96,1.64,0.28,1.54,0.94,2.32,3.42,1.04625
5/10/2014,0.4,0.38,0.96,1.64,0.51,1.67,0.94,2.37,3.42,1.10875
5/11/2014,0.4,0.48,0.96,1.72,0.53,1.7,1.08,2.37,3.42,1.155
5/12/2014,0.4,0.66,0.96,1.76,1.39,3.11,1.08,2.37,3.42,1.46625
5/13/2014,1.05,0.66,0.97,2.01,2.2,3.34,1.08,2.37,3.42,1.71
5/14/2014,1.08,0.66,0.97,2.02,2.2,3.36,1.08,2.37,3.61,1.7175
5/15/2014,1.57,0.67,0.99,2.02,2.34,3.36,1.2,2.37,3.67,1.815
5/16/2014,4.02,0.67,1,2.02,2.77,3.4,1.27,2.37,3.93,2.19
5/17/2014,4.02,0.8,1.02,2.02,2.8,3.4,1.43,2.37,3.93,2.2325
5/18/2014,4.02,0.84,1.06,2.02,2.82,3.4,1.43,2.37,4.01,2.245
5/19/2014,4.02,0.85,1.07,2.02,3.23,3.75,1.43,2.37,4.1,2.3425
5/20/2014,4.02,0.85,1.07,2.09,3.25,4.45,1.43,2.37,4.41,2.44125
5/21/2014,5.17,0.94,1.14,2.09,3.25,4.45,1.43,2.37,4.41,2.605
5/22/2014,5.2,0.96,1.16,2.09,3.43,4.45,1.73,2.37,4.43,2.67375
5/23/2014,5.2,0.96,2.12,2.09,3.43,4.64,1.73,2.37,4.43,2.8175
5/24/2014,5.34,0.96,2.12,2.1,3.43,4.65,1.73,2.5,4.43,2.85375
5/25/2014,5.35,0.96,2.12,3.35,3.43,4.79,1.73,2.5,4.43,3.02875
5/26/2014,5.35,0.96,2.14,3.41,3.43,4.84,1.73,2.91,4.43,3.09625
5/27/2014,5.54,0.99,2.14,3.41,3.43,4.85,1.73,2.91,4.89,3.125
5/28/2014,5.55,0.99,2.14,3.54,3.43,5.33,2.5,3.12,4.92,3.325
5/29/2014,5.61,0.99,2.14,4.28,3.43,6.44,2.58,3.25,4.92,3.59
5/30/2014,5.61,1.06,2.16,4.93,3.44,7.09,2.58,3.32,4.92,3.77375
5/31/2014,5.61,1.11,2.23,5,3.45,7.09,2.58,3.38,4.92,3.80625
6/1/2014,5.61,2.21,2.23,5,3.45,7.11,2.58,3.76,5.18,3.99375
6/2/2014,5.61,2.24,2.25,5,3.45,7.25,2.58,4.17,5.28,4.06875
6/3/2014,5.8,2.24,2.61,5,4.39,7.25,3.19,4.6,5.28,4.385
6/4/2014,5.89,2.24,2.64,5,4.39,7.25,4.3,4.71,5.28,4.5525
6/5/2014,7.22,2.27,3.17,5,4.46,7.28,4.31,4.71,5.28,4.8025
6/6/2014,7.22,2.29,3.24,5.11,4.46,7.28,4.32,4.71,5.28,4.82875
6/7/2014,7.22,2.29,3.5,5.13,4.46,7.28,4.32,4.71,5.6,4.86375
6/8/2014,7.53,2.85,3.7,5.13,4.46,7.28,4.32,4.74,5.75,5.00125
6/9/2014,7.53,2.91,3.7,5.13,4.46,7.28,4.32,5.07,6.19,5.05
6/10/2014,7.53,2.91,3.7,5.13,6.33,7.99,5.53,5.07,6.19,5.52375
6/11/2014,7.84,3.07,3.7,5.13,6.55,8,5.87,5.27,6.19,5.67875
6/12/2014,8.75,3.26,3.7,5.13,6.55,8,5.87,5.27,6.32,5.81625
6/13/2014,8.87,3.31,3.7,5.13,6.73,9.09,5.87,6.23,6.32,6.11625
6/14/2014,8.88,3.58,3.7,5.13,6.73,9.09,5.87,7.04,6.86,6.2525
6/15/2014,8.88,3.82,3.77,5.65,6.73,9.09,5.87,7.05,6.86,6.3575
6/16/2014,8.89,3.89,3.95,7.16,6.73,9.53,5.87,7.05,6.94,6.63375
6/17/2014,8.9,3.89,3.97,7.16,6.73,9.71,5.87,7.05,6.94,6.66
6/18/2014,9.36,5.26,3.97,7.37,6.73,10.13,5.88,7.05,6.94,6.96875
6/19/2014,9.91,5.38,3.97,8.01,7.54,10.2,6.84,7.22,6.94,7.38375
6/20/2014,9.92,5.64,3.97,8.02,7.65,10.42,6.84,7.23,6.94,7.46125
6/21/2014,9.94,5.69,3.97,8.05,7.87,10.61,6.84,7.27,7.19,7.53
6/22/2014,9.94,5.69,3.97,8.12,8.05,10.61,7.31,7.44,7.74,7.64125
6/23/2014,9.94,5.76,4.73,8.78,8.17,10.61,7.32,7.44,7.76,7.84375
6/24/2014,10.11,5.76,4.73,8.89,8.24,10.62,7.32,7.44,7.76,7.88875
6/25/2014,11.2,5.86,4.73,8.89,8.24,10.74,7.5,7.44,7.76,8.075
6/26/2014,11.2,5.86,4.73,8.89,8.24,10.74,7.5,7.44,7.76,8.075
6/27/2014,11.2,7.88,4.73,8.9,8.38,10.74,8.02,7.44,8.06,8.41125
6/28/2014,11.2,8.34,4.73,8.9,8.46,10.85,8.02,7.44,8.06,8.4925
